Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
UKR,2000-01-01,2000-01-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2000,2000,,19.586001,I,base year is 2015
UKR,2001-01-01,2001-01-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2001,2001,,23.565986,I,base year is 2015
UKR,2002-01-01,2002-01-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2002,2002,,24.766656,I,base year is 2015
UKR,2003-01-01,2003-01-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2003,2003,,24.766656,I,base year is 2015
UKR,2004-01-01,2004-01-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2004,2004,,26.644501,I,base year is 2015
UKR,2005-01-01,2005-01-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2005,2005,,29.643633,X,base year is 2015
UKR,2006-01-01,2006-01-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2006,2006,,32.446077,X,base year is 2015
UKR,2007-01-01,2007-01-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2007,2007,,33.068843,X,base year is 2015
UKR,2008-01-01,2008-01-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2008,2008,,42.534877,X,base year is 2015
UKR,2009-01-01,2009-01-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2009,2009,,52.312293,X,base year is 2015
UKR,2010-01-01,2010-01-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2010,2010,,58.104011,X,base year is 2015
UKR,2011-01-01,2011-01-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2011,2011,,63.086135,X,base year is 2015
UKR,2012-01-01,2012-01-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2012,2012,,63.459794,X,base year is 2015
UKR,2013-01-01,2013-01-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2013,2013,,62.089710,X,base year is 2015
UKR,2014-01-01,2014-01-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2014,2014,,61.716051,X,base year is 2015
UKR,2015-01-01,2015-01-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2015,2015,,80.336736,X,base year is 2015
UKR,2016-01-01,2016-01-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2016,2016,,110.914517,X,base year is 2015
UKR,2017-01-01,2017-01-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2017,2017,,114.215174,X,base year is 2015
UKR,2018-01-01,2018-01-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2018,2018,,134.579602,X,base year is 2015
UKR,2019-01-01,2019-01-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2019,2019,,145.228890,X,base year is 2015
UKR,2020-01-01,2020-01-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2020,2020,,149.775078,X,base year is 2015
UKR,2021-01-01,2021-01-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2021,2021,,158.556070,X,base year is 2015
UKR,2022-01-01,2022-01-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2022,2022,,180.664241,A,base year is 2015
UKR,2000-02-01,2000-02-29,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2000,2000,,20.166405,I,base year is 2015
UKR,2001-02-01,2001-02-28,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2001,2001,,23.680535,I,base year is 2015
UKR,2002-02-01,2002-02-28,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2002,2002,,24.481197,I,base year is 2015
UKR,2003-02-01,2003-02-28,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2003,2003,,24.994842,I,base year is 2015
UKR,2004-02-01,2004-02-29,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2004,2004,,26.757975,I,base year is 2015
UKR,2005-02-01,2005-02-28,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2005,2005,,30.017292,X,base year is 2015
UKR,2006-02-01,2006-02-28,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2006,2006,,33.317949,X,base year is 2015
UKR,2007-02-01,2007-02-28,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2007,2007,,33.068843,X,base year is 2015
UKR,2008-02-01,2008-02-29,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2008,2008,,44.154067,X,base year is 2015
UKR,2009-02-01,2009-02-28,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2009,2009,,53.059612,X,base year is 2015
UKR,2010-02-01,2010-02-28,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2010,2010,,60.159137,X,base year is 2015
UKR,2011-02-01,2011-02-28,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2011,2011,,63.272964,X,base year is 2015
UKR,2012-02-01,2012-02-29,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2012,2012,,63.646623,X,base year is 2015
UKR,2013-02-01,2013-02-28,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2013,2013,,61.965157,X,base year is 2015
UKR,2014-02-01,2014-02-28,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2014,2014,,62.463369,X,base year is 2015
UKR,2015-02-01,2015-02-28,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2015,2015,,84.882923,X,base year is 2015
UKR,2016-02-01,2016-02-29,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2016,2016,,110.104922,X,base year is 2015
UKR,2017-02-01,2017-02-28,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2017,2017,,115.896640,X,base year is 2015
UKR,2018-02-01,2018-02-28,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2018,2018,,135.949686,X,base year is 2015
UKR,2019-02-01,2019-02-28,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2019,2019,,146.536698,X,base year is 2015
UKR,2020-02-01,2020-02-29,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2020,2020,,149.152312,X,base year is 2015
UKR,2021-02-01,2021-02-28,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2021,2021,,161.856726,X,base year is 2015
UKR,2022-02-01,2022-02-28,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2022,2022,,185.023599,A,base year is 2015
UKR,2000-03-01,2000-03-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2000,2000,,20.571923,I,base year is 2015
UKR,2001-03-01,2001-03-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2001,2001,,23.852278,I,base year is 2015
UKR,2002-03-01,2002-03-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2002,2002,,24.309798,I,base year is 2015
UKR,2003-03-01,2003-03-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2003,2003,,25.279849,I,base year is 2015
UKR,2004-03-01,2004-03-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2004,2004,,26.814699,I,base year is 2015
UKR,2005-03-01,2005-03-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2005,2005,,30.702334,X,base year is 2015
UKR,2006-03-01,2006-03-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2006,2006,,33.131119,X,base year is 2015
UKR,2007-03-01,2007-03-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2007,2007,,33.131119,X,base year is 2015
UKR,2008-03-01,2008-03-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2008,2008,,46.645128,X,base year is 2015
UKR,2009-03-01,2009-03-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2009,2009,,53.869207,X,base year is 2015
UKR,2010-03-01,2010-03-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2010,2010,,60.906456,X,base year is 2015
UKR,2011-03-01,2011-03-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2011,2011,,64.393942,X,base year is 2015
UKR,2012-03-01,2012-03-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2012,2012,,63.771177,X,base year is 2015
UKR,2013-03-01,2013-03-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2013,2013,,61.778327,X,base year is 2015
UKR,2014-03-01,2014-03-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2014,2014,,63.958006,X,base year is 2015
UKR,2015-03-01,2015-03-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2015,2015,,98.147826,X,base year is 2015
UKR,2016-03-01,2016-03-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2016,2016,,109.357604,X,base year is 2015
UKR,2017-03-01,2017-03-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2017,2017,,117.204447,X,base year is 2015
UKR,2018-03-01,2018-03-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2018,2018,,137.444323,X,base year is 2015
UKR,2019-03-01,2019-03-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2019,2019,,147.097186,X,base year is 2015
UKR,2020-03-01,2020-03-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2020,2020,,149.775078,X,base year is 2015
UKR,2021-03-01,2021-03-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2021,2021,,165.281936,X,base year is 2015
UKR,2022-03-01,2022-03-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2022,2022,,196.482482,A,base year is 2015
UKR,2000-04-01,2000-04-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2000,2000,,20.861202,I,base year is 2015
UKR,2001-04-01,2001-04-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2001,2001,,24.138306,I,base year is 2015
UKR,2002-04-01,2002-04-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2002,2002,,24.595411,I,base year is 2015
UKR,2003-04-01,2003-04-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2003,2003,,25.450735,I,base year is 2015
UKR,2004-04-01,2004-04-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2004,2004,,26.984814,I,base year is 2015
UKR,2005-04-01,2005-04-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2005,2005,,30.951440,X,base year is 2015
UKR,2006-04-01,2006-04-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2006,2006,,32.944289,X,base year is 2015
UKR,2007-04-01,2007-04-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2007,2007,,33.317949,X,base year is 2015
UKR,2008-04-01,2008-04-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2008,2008,,49.073913,X,base year is 2015
UKR,2009-04-01,2009-04-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2009,2009,,54.491972,X,base year is 2015
UKR,2010-04-01,2010-04-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2010,2010,,60.595073,X,base year is 2015
UKR,2011-04-01,2011-04-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2011,2011,,65.390367,X,base year is 2015
UKR,2012-04-01,2012-04-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2012,2012,,63.646623,X,base year is 2015
UKR,2013-04-01,2013-04-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2013,2013,,61.716051,X,base year is 2015
UKR,2014-04-01,2014-04-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2014,2014,,66.635897,X,base year is 2015
UKR,2015-04-01,2015-04-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2015,2015,,102.444908,X,base year is 2015
UKR,2016-04-01,2016-04-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2016,2016,,109.482157,X,base year is 2015
UKR,2017-04-01,2017-04-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2017,2017,,118.574531,X,base year is 2015
UKR,2018-04-01,2018-04-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2018,2018,,138.938960,X,base year is 2015
UKR,2019-04-01,2019-04-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2019,2019,,149.152312,X,base year is 2015
UKR,2020-04-01,2020-04-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2020,2020,,152.888905,X,base year is 2015
UKR,2021-04-01,2021-04-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2021,2021,,167.274785,A,base year is 2015
UKR,2022-04-01,2022-04-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2022,2022,,204.765262,X,base year is 2015
UKR,2000-05-01,2000-05-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2000,2000,,21.265675,I,base year is 2015
UKR,2001-05-01,2001-05-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2001,2001,,24.252644,I,base year is 2015
UKR,2002-05-01,2002-05-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2002,2002,,24.538309,I,base year is 2015
UKR,2003-05-01,2003-05-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2003,2003,,25.450735,I,base year is 2015
UKR,2004-05-01,2004-05-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2004,2004,,27.211506,I,base year is 2015
UKR,2005-05-01,2005-05-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2005,2005,,31.138270,X,base year is 2015
UKR,2006-05-01,2006-05-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2006,2006,,32.819736,X,base year is 2015
UKR,2007-05-01,2007-05-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2007,2007,,33.691608,X,base year is 2015
UKR,2008-05-01,2008-05-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2008,2008,,50.008061,X,base year is 2015
UKR,2009-05-01,2009-05-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2009,2009,,54.678802,X,base year is 2015
UKR,2010-05-01,2010-05-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2010,2010,,59.723201,X,base year is 2015
UKR,2011-05-01,2011-05-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2011,2011,,65.888579,X,base year is 2015
UKR,2012-05-01,2012-05-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2012,2012,,63.148411,X,base year is 2015
UKR,2013-05-01,2013-05-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2013,2013,,61.716051,X,base year is 2015
UKR,2014-05-01,2014-05-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2014,2014,,69.064682,X,base year is 2015
UKR,2015-05-01,2015-05-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2015,2015,,105.621011,X,base year is 2015
UKR,2016-05-01,2016-05-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2016,2016,,109.668986,X,base year is 2015
UKR,2017-05-01,2017-05-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2017,2017,,121.314699,X,base year is 2015
UKR,2018-05-01,2018-05-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2018,2018,,138.004812,X,base year is 2015
UKR,2019-05-01,2019-05-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2019,2019,,150.646949,X,base year is 2015
UKR,2020-05-01,2020-05-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2020,2020,,154.694924,X,base year is 2015
UKR,2021-05-01,2021-05-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2021,2021,,170.077230,A,base year is 2015
UKR,2022-05-01,2022-05-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,2022,2022,,210.245598,X,base year is 2015
UKR,2000-06-01,2000-06-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2000,2000,,22.015282,I,base year is 2015
UKR,2001-06-01,2001-06-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2001,2001,,24.366941,I,base year is 2015
UKR,2002-06-01,2002-06-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2002,2002,,24.138306,I,base year is 2015
UKR,2003-06-01,2003-06-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2003,2003,,25.450735,I,base year is 2015
UKR,2004-06-01,2004-06-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2004,2004,,27.381430,I,base year is 2015
UKR,2005-06-01,2005-06-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2005,2005,,31.325099,X,base year is 2015
UKR,2006-06-01,2006-06-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2006,2006,,32.757460,X,base year is 2015
UKR,2007-06-01,2007-06-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2007,2007,,34.937139,X,base year is 2015
UKR,2008-06-01,2008-06-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2008,2008,,50.319444,X,base year is 2015
UKR,2009-06-01,2009-06-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2009,2009,,54.741078,X,base year is 2015
UKR,2010-06-01,2010-06-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2010,2010,,59.162713,X,base year is 2015
UKR,2011-06-01,2011-06-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2011,2011,,66.075408,X,base year is 2015
UKR,2012-06-01,2012-06-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2012,2012,,62.774752,X,base year is 2015
UKR,2013-06-01,2013-06-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2013,2013,,61.653774,X,base year is 2015
UKR,2014-06-01,2014-06-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2014,2014,,69.500618,X,base year is 2015
UKR,2015-06-01,2015-06-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2015,2015,,105.621011,X,base year is 2015
UKR,2016-06-01,2016-06-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2016,2016,,109.046221,X,base year is 2015
UKR,2017-06-01,2017-06-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2017,2017,,125.362674,X,base year is 2015
UKR,2018-06-01,2018-06-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2018,2018,,137.319770,X,base year is 2015
UKR,2019-06-01,2019-06-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2019,2019,,149.027759,X,base year is 2015
UKR,2020-06-01,2020-06-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2020,2020,,155.317690,X,base year is 2015
UKR,2021-06-01,2021-06-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2021,2021,,169.952677,A,base year is 2015
UKR,2022-06-01,2022-06-30,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2022,2022,,217.033740,X,base year is 2015
UKR,2000-07-01,2000-07-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2000,2000,,22.015282,I,base year is 2015
UKR,2001-07-01,2001-07-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2001,2001,,24.023926,I,base year is 2015
UKR,2002-07-01,2002-07-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2002,2002,,23.795041,I,base year is 2015
UKR,2003-07-01,2003-07-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2003,2003,,25.450735,I,base year is 2015
UKR,2004-07-01,2004-07-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2004,2004,,27.381430,I,base year is 2015
UKR,2005-07-01,2005-07-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2005,2005,,31.325099,X,base year is 2015
UKR,2006-07-01,2006-07-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2006,2006,,32.134694,X,base year is 2015
UKR,2007-07-01,2007-07-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2007,2007,,35.746734,X,base year is 2015
UKR,2008-07-01,2008-07-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2008,2008,,49.634402,X,base year is 2015
UKR,2009-07-01,2009-07-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2009,2009,,54.616525,X,base year is 2015
UKR,2010-07-01,2010-07-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2010,2010,,58.789053,X,base year is 2015
UKR,2011-07-01,2011-07-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2011,2011,,64.393942,X,base year is 2015
UKR,2012-07-01,2012-07-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2012,2012,,62.463369,X,base year is 2015
UKR,2013-07-01,2013-07-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2013,2013,,61.466945,X,base year is 2015
UKR,2014-07-01,2014-07-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2014,2014,,69.002406,X,base year is 2015
UKR,2015-07-01,2015-07-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2015,2015,,103.503609,X,base year is 2015
UKR,2016-07-01,2016-07-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2016,2016,,108.049796,X,base year is 2015
UKR,2017-07-01,2017-07-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2017,2017,,125.736333,X,base year is 2015
UKR,2018-07-01,2018-07-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2018,2018,,134.704155,X,base year is 2015
UKR,2019-07-01,2019-07-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2019,2019,,147.969058,X,base year is 2015
UKR,2020-07-01,2020-07-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2020,2020,,153.138011,X,base year is 2015
UKR,2021-07-01,2021-07-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2021,2021,,169.765847,A,base year is 2015
UKR,2000-08-01,2000-08-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,2000,2000,,22.015282,I,base year is 2015
UKR,2001-08-01,2001-08-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,2001,2001,,23.966721,I,base year is 2015
UKR,2002-08-01,2002-08-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,2002,2002,,23.737793,I,base year is 2015
UKR,2003-08-01,2003-08-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,2003,2003,,25.051863,I,base year is 2015
UKR,2004-08-01,2004-08-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,2004,2004,,27.324798,I,base year is 2015
UKR,2005-08-01,2005-08-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,2005,2005,,31.075993,X,base year is 2015
UKR,2006-08-01,2006-08-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,2006,2006,,31.698759,X,base year is 2015
UKR,2007-08-01,2007-08-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,2007,2007,,35.995840,X,base year is 2015
UKR,2008-08-01,2008-08-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,2008,2008,,49.385296,X,base year is 2015
UKR,2009-08-01,2009-08-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,2009,2009,,53.931483,X,base year is 2015
UKR,2010-08-01,2010-08-31,230,'804,Ukraine,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,2010,2010,,58.726777,X,base year is 2015
